Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2021,Phishing,Banking,82.85,854309.0,Insider,Zero-Day,Antivirus,16.0
Usa,2022,Phishing,Retail,89.85,998085.0,Insider,Zero-Day,Vpn,36.0
France,2018,Malware,It,10.81,479628.0,Insider,Weak Passwords,Vpn,13.0
Russia,2022,Malware,Healthcare,34.32,554162.0,Insider,Weak Passwords,Encryption,33.0
Usa,2022,Phishing,Government,92.54,653402.0,Hacker Group,Social Engineering,Firewall,5.0
Uk,2016,Man-In-The-Middle,Government,62.9,119785.0,Hacker Group,Unpatched Software,Encryption,14.0
Germany,2018,Ddos,Banking,48.76,754656.0,Hacker Group,Unpatched Software,Vpn,35.0
Usa,2016,Malware,Retail,41.11,848855.0,Unknown,Unpatched Software,Vpn,37.0
China,2021,Sql Injection,Healthcare,57.2,328454.0,Nation-State,Zero-Day,Vpn,36.0
Russia,2022,Ddos,Education,13.13,510702.0,Hacker Group,Weak Passwords,Firewall,15.0
Australia,2015,Man-In-The-Middle,Education,20.96,248083.0,Hacker Group,Social Engineering,Encryption,70.0
Brazil,2023,Ddos,Government,42.75,746425.0,Unknown,Zero-Day,Vpn,24.0
Japan,2018,Ransomware,Education,82.89,336607.0,Unknown,Zero-Day,Ai-Based Detection,17.0
Brazil,2021,Ransomware,Government,21.21,570810.0,Insider,Social Engineering,Firewall,72.0
France,2020,Malware,Banking,12.25,162930.0,Insider,Unpatched Software,Firewall,13.0
Japan,2015,Sql Injection,Education,61.87,244406.0,Nation-State,Social Engineering,Vpn,43.0
Japan,2016,Ddos,Education,50.99,604557.0,Nation-State,Zero-Day,Encryption,20.0
Germany,2024,Man-In-The-Middle,Education,26.58,313397.0,Unknown,Social Engineering,Ai-Based Detection,36.0
Australia,2023,Malware,Retail,5.24,696902.0,Unknown,Unpatched Software,Encryption,21.0
Uk,2024,Phishing,Banking,30.39,156576.0,Hacker Group,Unpatched Software,Vpn,72.0
Uk,2022,Phishing,Healthcare,66.55,843310.0,Hacker Group,Zero-Day,Antivirus,71.0
China,2016,Ddos,Telecommunications,50.99,281862.0,Insider,Social Engineering,Ai-Based Detection,4.0
India,2024,Ransomware,It,88.23,526308.0,Insider,Unpatched Software,Antivirus,23.0
Russia,2018,Ddos,It,5.18,826924.0,Insider,Social Engineering,Vpn,35.0
China,2024,Ddos,It,13.77,928751.0,Insider,Social Engineering,Encryption,26.0
China,2021,Ransomware,Education,21.9,304804.0,Hacker Group,Weak Passwords,Ai-Based Detection,53.0
Brazil,2024,Man-In-The-Middle,Education,34.42,960625.0,Nation-State,Zero-Day,Firewall,48.0
France,2019,Ransomware,Government,57.9,264088.0,Unknown,Weak Passwords,Ai-Based Detection,28.0
Australia,2022,Phishing,Healthcare,61.97,633750.0,Insider,Unpatched Software,Antivirus,45.0
China,2021,Ransomware,Healthcare,56.11,255531.0,Unknown,Social Engineering,Firewall,36.0
Australia,2018,Ransomware,Banking,50.64,874035.0,Insider,Unpatched Software,Antivirus,38.0
Usa,2017,Ddos,Healthcare,64.99,632431.0,Insider,Zero-Day,Vpn,55.0
Brazil,2018,Ransomware,Education,69.04,939146.0,Nation-State,Zero-Day,Firewall,36.0
India,2022,Man-In-The-Middle,Retail,13.82,633855.0,Hacker Group,Social Engineering,Antivirus,37.0
Australia,2016,Malware,Government,22.48,686176.0,Nation-State,Zero-Day,Firewall,62.0
China,2022,Malware,Retail,11.31,561807.0,Unknown,Zero-Day,Antivirus,17.0
India,2023,Sql Injection,Government,60.53,15768.0,Unknown,Zero-Day,Vpn,66.0
Germany,2019,Malware,Healthcare,98.45,32423.0,Hacker Group,Weak Passwords,Antivirus,45.0
China,2021,Sql Injection,It,97.06,329378.0,Nation-State,Weak Passwords,Vpn,61.0
India,2020,Phishing,Healthcare,64.7,541451.0,Hacker Group,Weak Passwords,Encryption,17.0
China,2020,Man-In-The-Middle,Education,1.05,255393.0,Unknown,Unpatched Software,Encryption,71.0
Japan,2017,Phishing,Government,89.97,141115.0,Hacker Group,Zero-Day,Ai-Based Detection,9.0
India,2015,Man-In-The-Middle,Telecommunications,48.58,358210.0,Nation-State,Zero-Day,Ai-Based Detection,11.0
Japan,2023,Phishing,Education,50.99,60322.0,Unknown,Zero-Day,Vpn,22.0
China,2019,Ransomware,Government,15.42,555153.0,Unknown,Zero-Day,Encryption,11.0
India,2018,Phishing,Healthcare,50.99,98266.0,Insider,Social Engineering,Firewall,18.0
Russia,2019,Man-In-The-Middle,It,52.8,633511.0,Insider,Zero-Day,Vpn,58.0
Uk,2015,Man-In-The-Middle,Banking,64.88,976213.0,Unknown,Social Engineering,Firewall,28.0
Brazil,2016,Ddos,Telecommunications,94.1,838739.0,Unknown,Social Engineering,Vpn,21.0
China,2023,Ransomware,It,23.18,367503.0,Nation-State,Weak Passwords,Encryption,17.0
China,2018,Ransomware,Education,17.44,598614.0,Insider,Social Engineering,Vpn,59.0
France,2022,Phishing,Retail,22.72,629571.0,Hacker Group,Unpatched Software,Vpn,41.0
Japan,2021,Man-In-The-Middle,Education,69.99,834355.0,Nation-State,Unpatched Software,Ai-Based Detection,71.0
Usa,2020,Man-In-The-Middle,It,87.88,731495.0,Nation-State,Zero-Day,Antivirus,3.0
Uk,2020,Sql Injection,Retail,69.91,354637.0,Insider,Social Engineering,Vpn,63.0
Usa,2020,Ransomware,Banking,27.45,60428.0,Nation-State,Weak Passwords,Antivirus,27.0
China,2024,Ddos,Retail,13.17,95351.0,Nation-State,Unpatched Software,Antivirus,11.0
Brazil,2020,Phishing,Retail,50.99,826159.0,Insider,Weak Passwords,Vpn,3.0
France,2020,Sql Injection,Healthcare,66.92,234301.0,Insider,Zero-Day,Ai-Based Detection,32.0
Uk,2020,Phishing,Healthcare,39.47,551014.0,Nation-State,Social Engineering,Firewall,71.0
Brazil,2017,Sql Injection,Telecommunications,4.35,809757.0,Nation-State,Social Engineering,Vpn,61.0
Uk,2017,Malware,Healthcare,24.06,612319.0,Unknown,Social Engineering,Antivirus,47.0
Uk,2015,Phishing,Telecommunications,21.8,312051.0,Nation-State,Unpatched Software,Vpn,41.0
Usa,2018,Phishing,Banking,89.74,279786.0,Insider,Zero-Day,Vpn,46.0
Australia,2016,Phishing,Government,72.34,847817.0,Hacker Group,Social Engineering,Firewall,13.0
Australia,2016,Man-In-The-Middle,Education,37.48,382682.0,Nation-State,Zero-Day,Firewall,12.0
Usa,2021,Phishing,It,38.2,159917.0,Insider,Zero-Day,Antivirus,47.0
France,2023,Man-In-The-Middle,Government,85.85,841548.0,Unknown,Zero-Day,Firewall,68.0
Japan,2017,Ddos,Healthcare,5.5,751586.0,Nation-State,Social Engineering,Ai-Based Detection,24.0
Germany,2024,Man-In-The-Middle,Banking,53.51,680154.0,Nation-State,Zero-Day,Firewall,2.0
France,2023,Phishing,Education,37.38,978508.0,Insider,Weak Passwords,Firewall,42.0
Germany,2020,Man-In-The-Middle,It,84.55,392247.0,Unknown,Zero-Day,Antivirus,36.0
Russia,2023,Sql Injection,Retail,34.87,446911.0,Unknown,Weak Passwords,Firewall,25.0
Australia,2023,Ransomware,It,17.26,777799.0,Insider,Weak Passwords,Firewall,2.0
Australia,2016,Ransomware,Healthcare,82.99,799581.0,Nation-State,Zero-Day,Ai-Based Detection,50.0
Germany,2015,Man-In-The-Middle,Retail,85.34,819676.0,Hacker Group,Zero-Day,Antivirus,59.0
Japan,2023,Sql Injection,Telecommunications,31.46,192430.0,Nation-State,Unpatched Software,Ai-Based Detection,36.0
Uk,2016,Ddos,Telecommunications,74.5,735.0,Hacker Group,Zero-Day,Firewall,69.0
Usa,2023,Ransomware,Healthcare,12.79,654947.0,Insider,Social Engineering,Encryption,23.0
Usa,2018,Ddos,Banking,10.01,327826.0,Hacker Group,Social Engineering,Ai-Based Detection,35.0
France,2016,Man-In-The-Middle,Healthcare,23.99,106126.0,Unknown,Weak Passwords,Antivirus,19.0
Russia,2022,Man-In-The-Middle,It,34.57,46493.0,Insider,Unpatched Software,Encryption,62.0
Japan,2021,Man-In-The-Middle,Education,15.78,733307.0,Nation-State,Social Engineering,Firewall,29.0
France,2015,Malware,Government,71.91,789673.0,Unknown,Zero-Day,Antivirus,31.0
China,2017,Ransomware,Education,64.93,159061.0,Insider,Weak Passwords,Firewall,12.0
China,2020,Phishing,Education,6.35,80748.0,Hacker Group,Zero-Day,Encryption,8.0
Uk,2020,Phishing,It,85.85,697536.0,Unknown,Social Engineering,Ai-Based Detection,72.0
Brazil,2019,Sql Injection,Healthcare,46.5,748146.0,Insider,Weak Passwords,Ai-Based Detection,13.0
Russia,2022,Man-In-The-Middle,Telecommunications,64.39,803579.0,Unknown,Weak Passwords,Vpn,1.0
France,2021,Phishing,Retail,13.47,537683.0,Insider,Unpatched Software,Vpn,41.0
France,2020,Ddos,Retail,40.72,743271.0,Nation-State,Social Engineering,Firewall,10.0
Australia,2018,Malware,Banking,36.01,215231.0,Unknown,Zero-Day,Antivirus,49.0
Uk,2022,Phishing,Banking,57.89,135941.0,Nation-State,Social Engineering,Ai-Based Detection,7.0
Usa,2017,Phishing,It,7.95,362478.0,Hacker Group,Zero-Day,Encryption,67.0
Russia,2022,Ddos,Education,13.89,537149.0,Nation-State,Unpatched Software,Vpn,54.0
China,2016,Sql Injection,Banking,96.28,162061.0,Insider,Zero-Day,Firewall,32.0
China,2016,Ransomware,Banking,94.63,455702.0,Hacker Group,Weak Passwords,Antivirus,5.0
Uk,2021,Phishing,Telecommunications,13.26,505132.5,Nation-State,Social Engineering,Ai-Based Detection,7.0
France,2019,Malware,Retail,21.92,603904.0,Nation-State,Unpatched Software,Firewall,36.0
France,2016,Malware,It,81.81,331741.0,Hacker Group,Social Engineering,Antivirus,29.0
Japan,2023,Ransomware,Education,58.79,983506.0,Hacker Group,Social Engineering,Ai-Based Detection,35.0
China,2015,Phishing,Retail,14.72,914743.0,Insider,Social Engineering,Ai-Based Detection,69.0
Germany,2022,Malware,Banking,59.7,258587.0,Insider,Social Engineering,Vpn,7.0
Brazil,2020,Man-In-The-Middle,Retail,16.26,527964.0,Insider,Zero-Day,Firewall,28.0
Brazil,2015,Phishing,Banking,29.61,505132.5,Unknown,Zero-Day,Firewall,36.0
Uk,2023,Malware,It,82.38,386972.0,Insider,Unpatched Software,Ai-Based Detection,56.0
China,2017,Ddos,Healthcare,96.49,644339.0,Insider,Unpatched Software,Antivirus,71.0
Brazil,2024,Ddos,Healthcare,76.39,782425.0,Insider,Weak Passwords,Encryption,13.0
Russia,2024,Sql Injection,Banking,79.98,84185.0,Nation-State,Weak Passwords,Vpn,2.0
Uk,2022,Malware,Healthcare,91.65,337120.0,Insider,Weak Passwords,Firewall,36.0
Uk,2020,Phishing,Banking,50.99,241282.0,Hacker Group,Social Engineering,Encryption,55.0
China,2022,Ddos,Healthcare,97.15,734819.0,Unknown,Unpatched Software,Ai-Based Detection,50.0
Australia,2024,Ddos,Healthcare,77.04,8517.0,Hacker Group,Weak Passwords,Encryption,4.0
Uk,2018,Man-In-The-Middle,Government,91.52,865257.0,Nation-State,Social Engineering,Vpn,19.0
Germany,2023,Sql Injection,Education,37.4,662428.0,Insider,Weak Passwords,Ai-Based Detection,4.0
China,2020,Malware,Healthcare,11.89,646567.0,Insider,Unpatched Software,Vpn,15.0
Usa,2019,Ddos,Banking,43.29,266748.0,Unknown,Unpatched Software,Antivirus,30.0
Usa,2022,Ransomware,Retail,92.88,771367.0,Hacker Group,Zero-Day,Firewall,5.0
Usa,2020,Ddos,Banking,99.81,948174.0,Unknown,Social Engineering,Ai-Based Detection,4.0
Brazil,2017,Ddos,Healthcare,62.74,460264.0,Unknown,Social Engineering,Firewall,9.0
Usa,2017,Ddos,Government,96.89,794147.0,Unknown,Unpatched Software,Antivirus,4.0
France,2015,Sql Injection,It,43.86,72222.0,Unknown,Weak Passwords,Firewall,64.0
Uk,2020,Ddos,Telecommunications,66.27,995231.0,Nation-State,Weak Passwords,Firewall,53.0
Japan,2021,Malware,Retail,90.8,841766.0,Nation-State,Zero-Day,Ai-Based Detection,16.0
Russia,2015,Man-In-The-Middle,It,95.04,566542.0,Unknown,Weak Passwords,Firewall,36.0
Uk,2022,Malware,Healthcare,12.67,781284.0,Hacker Group,Weak Passwords,Firewall,11.0
Uk,2022,Phishing,It,89.59,361270.0,Nation-State,Weak Passwords,Vpn,31.0
India,2022,Malware,Telecommunications,97.03,404834.0,Hacker Group,Zero-Day,Vpn,36.0
China,2023,Ddos,Government,53.46,374484.0,Unknown,Unpatched Software,Antivirus,46.0
Australia,2020,Sql Injection,It,21.02,681476.0,Unknown,Weak Passwords,Vpn,6.0
India,2019,Sql Injection,Retail,15.39,514826.0,Hacker Group,Unpatched Software,Firewall,72.0
Japan,2022,Malware,Education,97.32,742866.0,Nation-State,Social Engineering,Encryption,61.0
Uk,2016,Ransomware,Healthcare,61.66,505132.5,Hacker Group,Social Engineering,Vpn,36.0
Australia,2022,Sql Injection,It,15.29,42346.0,Hacker Group,Unpatched Software,Vpn,33.0
Japan,2019,Malware,Telecommunications,5.88,235399.0,Unknown,Social Engineering,Antivirus,21.0
Usa,2015,Man-In-The-Middle,Retail,24.93,448426.0,Nation-State,Weak Passwords,Vpn,36.0
France,2020,Ransomware,Retail,97.37,467137.0,Nation-State,Social Engineering,Encryption,14.0
Japan,2017,Sql Injection,Education,11.49,364107.0,Hacker Group,Social Engineering,Ai-Based Detection,28.0
India,2022,Man-In-The-Middle,Government,4.05,357898.0,Hacker Group,Social Engineering,Firewall,27.0
China,2016,Ddos,Banking,76.9,605118.0,Insider,Social Engineering,Firewall,30.0
Russia,2022,Man-In-The-Middle,Education,96.44,106169.0,Nation-State,Unpatched Software,Encryption,28.0
France,2016,Ransomware,Healthcare,34.29,157547.0,Insider,Unpatched Software,Ai-Based Detection,29.0
Brazil,2022,Sql Injection,Healthcare,56.63,242677.0,Insider,Social Engineering,Encryption,21.0
China,2016,Sql Injection,Banking,63.67,385872.0,Insider,Zero-Day,Firewall,50.0
Germany,2018,Ddos,Retail,80.85,148209.0,Insider,Weak Passwords,Antivirus,54.0
Japan,2022,Ddos,Healthcare,9.5,387457.0,Nation-State,Weak Passwords,Vpn,61.0
Russia,2023,Malware,It,47.22,404004.0,Nation-State,Social Engineering,Encryption,58.0
Uk,2018,Ransomware,Retail,28.98,981029.0,Nation-State,Weak Passwords,Antivirus,42.0
France,2017,Malware,Telecommunications,96.63,389525.0,Unknown,Zero-Day,Antivirus,32.0
India,2019,Sql Injection,It,43.97,764974.0,Nation-State,Weak Passwords,Vpn,18.0
India,2017,Man-In-The-Middle,Healthcare,91.4,621971.0,Nation-State,Weak Passwords,Ai-Based Detection,49.0
Brazil,2024,Sql Injection,It,53.71,680584.0,Insider,Zero-Day,Ai-Based Detection,5.0
China,2018,Sql Injection,Education,15.36,907858.0,Nation-State,Social Engineering,Encryption,47.0
Russia,2021,Sql Injection,Banking,80.68,983047.0,Hacker Group,Unpatched Software,Antivirus,19.0
France,2015,Malware,Government,17.3,610049.0,Hacker Group,Zero-Day,Ai-Based Detection,37.0
India,2021,Sql Injection,It,52.16,100105.0,Unknown,Zero-Day,Firewall,56.0
Usa,2023,Sql Injection,Government,89.46,59398.0,Hacker Group,Zero-Day,Antivirus,8.0
Usa,2023,Malware,Banking,35.91,91974.0,Hacker Group,Zero-Day,Ai-Based Detection,41.0
Brazil,2019,Ransomware,Healthcare,9.32,785564.0,Insider,Unpatched Software,Antivirus,70.0
China,2023,Phishing,Banking,15.21,597516.0,Nation-State,Unpatched Software,Antivirus,15.0
Uk,2022,Ransomware,It,17.98,799372.0,Hacker Group,Zero-Day,Ai-Based Detection,14.0
France,2018,Sql Injection,Banking,32.84,77096.0,Unknown,Weak Passwords,Vpn,29.0
Brazil,2023,Man-In-The-Middle,Retail,59.18,610786.0,Nation-State,Social Engineering,Ai-Based Detection,31.0
Japan,2021,Sql Injection,Telecommunications,28.33,667271.0,Insider,Weak Passwords,Firewall,22.0
China,2023,Phishing,Banking,33.27,133315.0,Nation-State,Zero-Day,Ai-Based Detection,25.0
Brazil,2019,Sql Injection,Government,24.93,381105.0,Unknown,Weak Passwords,Encryption,3.0
Uk,2020,Ransomware,Banking,98.07,795120.0,Unknown,Social Engineering,Firewall,42.0
Russia,2017,Sql Injection,Healthcare,67.13,198285.0,Nation-State,Unpatched Software,Encryption,56.0
India,2023,Ddos,Government,34.46,580270.0,Unknown,Unpatched Software,Firewall,35.0
Uk,2018,Ransomware,Retail,45.67,277410.0,Hacker Group,Social Engineering,Firewall,42.0
Australia,2022,Man-In-The-Middle,Government,38.29,793946.0,Nation-State,Weak Passwords,Firewall,12.0
Australia,2019,Ransomware,Banking,15.21,126770.0,Insider,Zero-Day,Encryption,67.0
Australia,2016,Phishing,It,55.18,66776.0,Unknown,Zero-Day,Encryption,29.0
Uk,2018,Ddos,Telecommunications,50.99,434797.0,Insider,Social Engineering,Antivirus,21.0
France,2024,Sql Injection,Retail,3.07,901137.0,Nation-State,Zero-Day,Antivirus,10.0
Australia,2020,Man-In-The-Middle,Banking,34.59,427407.0,Unknown,Unpatched Software,Encryption,47.0
Usa,2021,Phishing,Banking,28.75,959107.0,Unknown,Zero-Day,Antivirus,36.0
Russia,2017,Man-In-The-Middle,It,55.23,12439.0,Nation-State,Weak Passwords,Firewall,20.0
Germany,2021,Man-In-The-Middle,Banking,50.99,292854.0,Nation-State,Unpatched Software,Ai-Based Detection,14.0
Usa,2023,Malware,Banking,66.06,189116.0,Insider,Social Engineering,Ai-Based Detection,53.0
Usa,2017,Phishing,Telecommunications,19.6,889404.0,Unknown,Weak Passwords,Firewall,60.0
Usa,2017,Man-In-The-Middle,Retail,58.98,566242.0,Nation-State,Social Engineering,Vpn,63.0
Brazil,2015,Sql Injection,It,86.67,694491.0,Unknown,Unpatched Software,Firewall,65.0
Australia,2015,Ddos,Banking,51.54,297721.0,Nation-State,Weak Passwords,Antivirus,29.0
China,2024,Sql Injection,Education,13.61,394335.0,Unknown,Zero-Day,Encryption,43.0
Japan,2016,Man-In-The-Middle,It,57.14,590262.0,Insider,Unpatched Software,Antivirus,15.0
Germany,2015,Ddos,It,91.79,846200.0,Unknown,Social Engineering,Ai-Based Detection,26.0
Japan,2017,Phishing,Telecommunications,89.85,44385.0,Hacker Group,Weak Passwords,Ai-Based Detection,18.0
Uk,2021,Phishing,Banking,44.7,408446.0,Insider,Social Engineering,Vpn,43.0
Uk,2023,Ddos,Education,54.0,806965.0,Insider,Social Engineering,Ai-Based Detection,56.0
Russia,2022,Ransomware,Education,79.93,587346.0,Hacker Group,Social Engineering,Antivirus,39.0
Japan,2015,Phishing,Education,2.43,552342.0,Unknown,Zero-Day,Vpn,62.0
France,2019,Ddos,Education,66.65,47104.0,Insider,Social Engineering,Vpn,5.0
Usa,2022,Phishing,Retail,13.83,586557.0,Hacker Group,Social Engineering,Antivirus,37.0
Russia,2017,Malware,Government,2.65,500857.0,Hacker Group,Zero-Day,Vpn,35.0
Usa,2022,Man-In-The-Middle,Banking,65.51,977913.0,Hacker Group,Weak Passwords,Antivirus,36.0
France,2021,Malware,Telecommunications,68.64,894858.0,Hacker Group,Social Engineering,Firewall,19.0
Uk,2018,Man-In-The-Middle,It,75.81,574089.0,Unknown,Zero-Day,Firewall,32.0
Usa,2015,Ddos,Healthcare,62.99,232622.0,Nation-State,Weak Passwords,Antivirus,33.0
India,2015,Malware,Retail,89.95,917351.0,Unknown,Zero-Day,Encryption,43.0
Australia,2024,Sql Injection,Banking,98.31,694333.0,Insider,Unpatched Software,Vpn,48.0
India,2017,Ransomware,Government,38.87,968822.0,Nation-State,Weak Passwords,Antivirus,25.0
Brazil,2015,Ddos,Banking,18.87,976838.0,Unknown,Weak Passwords,Firewall,65.0
Australia,2019,Ddos,Education,54.63,22739.0,Insider,Unpatched Software,Firewall,44.0
Uk,2015,Man-In-The-Middle,Retail,7.92,657442.0,Nation-State,Social Engineering,Firewall,29.0
Brazil,2018,Phishing,Education,57.59,257681.0,Nation-State,Zero-Day,Antivirus,40.0
Japan,2021,Man-In-The-Middle,Retail,9.97,536471.0,Hacker Group,Weak Passwords,Encryption,72.0
France,2015,Ransomware,It,84.02,824619.0,Unknown,Social Engineering,Firewall,21.0
Russia,2016,Sql Injection,Government,77.94,538804.0,Hacker Group,Weak Passwords,Vpn,43.0
Japan,2023,Phishing,Healthcare,49.32,463704.0,Hacker Group,Weak Passwords,Firewall,36.0
China,2021,Man-In-The-Middle,Telecommunications,66.61,596341.0,Insider,Zero-Day,Ai-Based Detection,9.0
Brazil,2020,Malware,Retail,89.71,529588.0,Nation-State,Weak Passwords,Ai-Based Detection,65.0
Germany,2018,Man-In-The-Middle,Retail,43.28,22241.0,Hacker Group,Zero-Day,Firewall,5.0
Brazil,2022,Phishing,Banking,21.65,434936.0,Hacker Group,Zero-Day,Encryption,24.0
Japan,2019,Malware,It,33.61,52191.0,Nation-State,Weak Passwords,Antivirus,72.0
Australia,2015,Malware,Banking,8.24,242247.0,Insider,Social Engineering,Antivirus,29.0
Brazil,2020,Phishing,Banking,34.5,372427.0,Insider,Weak Passwords,Vpn,36.0
Brazil,2021,Ransomware,Healthcare,67.25,796351.0,Nation-State,Weak Passwords,Ai-Based Detection,21.0
Japan,2020,Sql Injection,Telecommunications,38.29,505831.0,Hacker Group,Social Engineering,Encryption,40.0
Germany,2020,Malware,Government,32.59,743344.0,Insider,Zero-Day,Vpn,4.0
China,2017,Phishing,Healthcare,70.4,651809.0,Unknown,Unpatched Software,Firewall,17.0
Brazil,2023,Sql Injection,Telecommunications,31.54,839281.0,Insider,Weak Passwords,Encryption,25.0
Brazil,2018,Sql Injection,Retail,84.79,99876.0,Insider,Unpatched Software,Firewall,56.0
Uk,2016,Sql Injection,Telecommunications,98.39,836521.0,Insider,Weak Passwords,Firewall,19.0
Japan,2022,Sql Injection,Retail,43.73,392831.0,Nation-State,Weak Passwords,Ai-Based Detection,71.0
China,2015,Ransomware,Government,86.88,99312.0,Unknown,Zero-Day,Ai-Based Detection,60.0
Japan,2017,Malware,Education,26.24,945147.0,Insider,Zero-Day,Ai-Based Detection,20.0
Usa,2018,Phishing,It,26.29,943039.0,Insider,Zero-Day,Firewall,28.0
Brazil,2016,Malware,Retail,76.81,505132.5,Unknown,Unpatched Software,Ai-Based Detection,36.0
Usa,2016,Malware,Banking,36.2,194553.0,Hacker Group,Social Engineering,Antivirus,48.0
China,2022,Ransomware,Banking,49.56,257224.0,Hacker Group,Social Engineering,Firewall,46.0
India,2019,Ddos,Banking,58.96,891815.0,Unknown,Weak Passwords,Antivirus,19.0
China,2020,Ransomware,Banking,98.05,168617.0,Hacker Group,Unpatched Software,Vpn,16.0
Uk,2016,Ransomware,Government,83.67,701152.0,Nation-State,Social Engineering,Firewall,53.0
Usa,2023,Sql Injection,Banking,30.66,749609.0,Nation-State,Zero-Day,Ai-Based Detection,28.0
Uk,2024,Man-In-The-Middle,Government,86.74,658712.0,Hacker Group,Unpatched Software,Vpn,25.0
China,2022,Ddos,Banking,77.74,642501.0,Hacker Group,Zero-Day,Ai-Based Detection,19.0
Australia,2017,Malware,Banking,92.65,817255.0,Hacker Group,Weak Passwords,Antivirus,62.0
China,2021,Ransomware,Government,5.96,92237.0,Nation-State,Weak Passwords,Ai-Based Detection,47.0
Australia,2023,Man-In-The-Middle,Telecommunications,66.91,156195.0,Nation-State,Unpatched Software,Firewall,58.0
India,2016,Man-In-The-Middle,It,23.38,618125.0,Nation-State,Zero-Day,Vpn,16.0
Australia,2021,Man-In-The-Middle,Banking,82.04,828293.0,Unknown,Weak Passwords,Antivirus,64.0
Brazil,2017,Malware,Telecommunications,6.09,436100.0,Unknown,Zero-Day,Encryption,12.0
Usa,2020,Ddos,Retail,14.12,787194.0,Unknown,Zero-Day,Vpn,51.0
France,2021,Phishing,Retail,31.52,380086.0,Nation-State,Social Engineering,Encryption,65.0
India,2024,Malware,Healthcare,13.74,330581.0,Unknown,Zero-Day,Ai-Based Detection,54.0
Australia,2017,Sql Injection,It,99.99,672966.0,Unknown,Zero-Day,Firewall,13.0
India,2022,Malware,Telecommunications,19.56,772330.0,Hacker Group,Unpatched Software,Encryption,20.0
Japan,2018,Man-In-The-Middle,Telecommunications,81.61,255844.0,Insider,Unpatched Software,Encryption,8.0
Germany,2017,Phishing,Government,80.7,107009.0,Nation-State,Social Engineering,Encryption,67.0
Japan,2020,Sql Injection,Retail,10.41,872095.0,Nation-State,Unpatched Software,Firewall,44.0
France,2015,Ddos,Banking,85.36,50427.0,Hacker Group,Zero-Day,Encryption,5.0
Usa,2017,Phishing,Retail,15.24,599197.0,Unknown,Zero-Day,Ai-Based Detection,8.0
Brazil,2022,Malware,Telecommunications,40.08,505132.5,Nation-State,Zero-Day,Antivirus,10.0
China,2021,Ddos,Telecommunications,10.2,950257.0,Nation-State,Weak Passwords,Ai-Based Detection,61.0
Australia,2022,Phishing,Healthcare,72.53,496317.0,Hacker Group,Weak Passwords,Antivirus,62.0
Brazil,2017,Man-In-The-Middle,Healthcare,96.36,596078.0,Hacker Group,Weak Passwords,Encryption,10.0
Uk,2019,Ransomware,Banking,88.63,701522.0,Insider,Zero-Day,Vpn,10.0
India,2015,Man-In-The-Middle,Healthcare,37.15,357124.0,Nation-State,Weak Passwords,Antivirus,31.0
Germany,2022,Sql Injection,Government,47.92,112688.0,Nation-State,Social Engineering,Vpn,15.0
India,2018,Phishing,Retail,14.46,743107.0,Hacker Group,Social Engineering,Vpn,49.0
India,2022,Man-In-The-Middle,Banking,32.47,947465.0,Unknown,Unpatched Software,Ai-Based Detection,69.0
Japan,2019,Ransomware,Government,81.97,358572.0,Hacker Group,Weak Passwords,Vpn,48.0
India,2024,Malware,It,92.08,430701.0,Hacker Group,Unpatched Software,Vpn,54.0
Uk,2021,Ddos,Banking,94.48,281900.0,Hacker Group,Zero-Day,Antivirus,1.0
Australia,2021,Malware,It,84.74,391257.0,Hacker Group,Zero-Day,Ai-Based Detection,66.0
China,2019,Man-In-The-Middle,Banking,81.8,277875.0,Nation-State,Social Engineering,Antivirus,43.0
Japan,2015,Ddos,It,33.27,207244.0,Unknown,Zero-Day,Antivirus,38.0
India,2018,Malware,Healthcare,66.96,294133.0,Unknown,Social Engineering,Vpn,20.0
Brazil,2023,Ransomware,Telecommunications,71.4,66852.0,Hacker Group,Weak Passwords,Vpn,58.0
China,2024,Phishing,Telecommunications,67.47,54722.0,Nation-State,Social Engineering,Encryption,13.0
Australia,2022,Phishing,Education,17.32,178951.0,Nation-State,Weak Passwords,Antivirus,26.0
Usa,2020,Ransomware,Healthcare,17.24,682791.0,Insider,Social Engineering,Encryption,44.0
Russia,2016,Sql Injection,Education,17.05,888205.0,Nation-State,Weak Passwords,Ai-Based Detection,38.0
France,2022,Phishing,It,52.19,794901.0,Insider,Zero-Day,Vpn,26.0
France,2018,Ddos,Government,27.44,978683.0,Insider,Zero-Day,Vpn,35.0
Australia,2015,Phishing,Telecommunications,73.77,639279.0,Nation-State,Zero-Day,Vpn,44.0
Uk,2020,Malware,Retail,10.94,675338.0,Hacker Group,Weak Passwords,Vpn,54.0
Australia,2021,Man-In-The-Middle,Government,42.24,147589.0,Insider,Unpatched Software,Antivirus,31.0
Australia,2017,Ddos,Government,82.39,646824.0,Hacker Group,Zero-Day,Ai-Based Detection,2.0
China,2016,Phishing,Government,37.62,465317.0,Insider,Social Engineering,Firewall,20.0
Usa,2022,Malware,It,21.53,233379.0,Unknown,Unpatched Software,Antivirus,50.0
China,2023,Malware,It,43.51,684108.0,Unknown,Weak Passwords,Firewall,24.0
